NAME,High_med_inc,state,place,City_x,State,City_y,Latitude,Longitude,Store Count,Bar Count
"Irvine city, California",123003,6,36770,Irvine city,California,"Irvine city, California",33.6705849,-117.7324939,0.0,3.0
"Jurupa Valley city, California",92883,6,37692,Jurupa Valley city,California,"Jurupa Valley city, California",33.97508225,-117.47828243869208,3.0,13.0
"Lake Elsinore city, California",91479,6,39486,Lake Elsinore city,California,"Lake Elsinore city, California",38.62029,-92.567502,0.0,0.0
"Lake Forest city, California",128033,6,39496,Lake Forest city,California,"Lake Forest city, California",39.1525796,-120.1460738,0.0,3.0
"Lakewood city, California",109309,6,39892,Lakewood city,California,"Lakewood city, California",33.846539,-118.112278,1.0,20.0
"Lancaster city, California",79113,6,40130,Lancaster city,California,"Lancaster city, California",34.69893735,-118.14539514250148,0.0,2.0
"Livermore city, California",145919,6,41992,Livermore city,California,"Livermore city, California",37.67523795,-121.755954866449,0.0,11.0
"Lodi city, California",88440,6,42202,Lodi city,California,"Lodi city, California",38.1345842,-121.27598907762918,0.0,1.0
"Long Beach city, California",80493,6,43000,Long Beach city,California,"Long Beach city, California",33.913956,-116.482107,0.0,1.0
"Los Angeles city, California",76135,6,44000,Los Angeles city,California,"Los Angeles city, California",34.24639,-116.832905,0.0,0.0
"Manteca city, California",83380,6,45484,Manteca city,California,"Manteca city, California",37.80156785,-121.23564403206112,0.0,4.0
"Menifee city, California",86206,6,46842,Menifee city,California,"Menifee city, California",33.71284085,-117.19174222799816,0.0,0.0
"Milpitas city, California",169818,6,47766,Milpitas city,California,"Milpitas city, California",37.4235297,-121.9253759,2.0,20.0
"Mission Viejo city, California",126469,6,48256,Mission Viejo city,California,"Mission Viejo city, California",34.131786,-116.079212,0.0,1.0
"Moreno Valley city, California",86909,6,49270,Moreno Valley city,California,"Moreno Valley city, California",32.697978,-115.484798,0.0,6.0
"Mountain View city, California",165448,6,49670,Mountain View city,California,"Mountain View city, California",37.6981086,-122.4558458,0.0,20.0
"Murrieta city, California",106709,6,50076,Murrieta city,California,"Murrieta city, California",33.560037699999995,-117.2104220130407,1.0,5.0
"Napa city, California",94248,6,50258,Napa city,California,"Napa city, California",38.30898305,-122.28760217730382,0.0,6.0
"Newport Beach city, California",127353,6,51182,Newport Beach city,California,"Newport Beach city, California",33.676312,-116.19429,0.0,2.0
"Norwalk city, California",94851,6,52526,Norwalk city,California,"Norwalk city, California",33.9155697,-118.0720107,1.0,11.0
"Oakland city, California",93146,6,53000,Oakland city,California,"Oakland city, California",37.8034958,-122.271692,0.0,20.0
"Oceanside city, California",83271,6,53322,Oceanside city,California,"Oceanside city, California",33.1953141,-117.3853169,0.0,20.0
