NAME,High_med_inc,state,place,City_x,State,City_y,Latitude,Longitude,Store Count,Bar Count
"Somerville city, Massachusetts",124110,25,62535,Somerville city,Massachusetts,"Somerville city, Massachusetts",42.3879326,-71.0835948,0.0,20.0
"Ann Arbor city, Michigan",78740,26,3000,Ann Arbor city,Michigan,"Ann Arbor city, Michigan",42.349409,-83.380356,0.0,10.0
"Farmington Hills city, Michigan",104593,26,27440,Farmington Hills city,Michigan,"Farmington Hills city, Michigan",42.358305,-83.371683,0.0,10.0
"Livonia city, Michigan",92125,26,49000,Livonia city,Michigan,"Livonia city, Michigan",42.39503615,-83.36554220037253,1.0,10.0
"Novi city, Michigan",101756,26,59440,Novi city,Michigan,"Novi city, Michigan",42.46475555,-83.48534413217257,0.0,5.0
"Rochester Hills city, Michigan",107137,26,69035,Rochester Hills city,Michigan,"Rochester Hills city, Michigan",42.651789,-83.165294,0.0,6.0
"Sterling Heights city, Michigan",78049,26,76460,Sterling Heights city,Michigan,"Sterling Heights city, Michigan",42.58997595,-83.01238253140909,0.0,4.0
"Troy city, Michigan",109444,26,80700,Troy city,Michigan,"Troy city, Michigan",42.56346735,-83.16243343349659,2.0,20.0
"Blaine city, Minnesota",105987,27,6382,Blaine city,Minnesota,"Blaine city, Minnesota",45.1658172,-93.2083623,0.0,7.0
"Bloomington city, Minnesota",87282,27,6616,Bloomington city,Minnesota,"Bloomington city, Minnesota",44.8251768,-93.302367,0.0,15.0
"Brooklyn Park city, Minnesota",80275,27,7966,Brooklyn Park city,Minnesota,"Brooklyn Park city, Minnesota",49.7810102,22.7752847,0.0,7.0
"Eagan city, Minnesota",97838,27,17288,Eagan city,Minnesota,"Eagan city, Minnesota",44.818849,-93.163862,0.0,16.0
"Lakeville city, Minnesota",124452,27,35180,Lakeville city,Minnesota,"Lakeville city, Minnesota",44.65686185,-93.24348455543982,1.0,5.0
"Maple Grove city, Minnesota",111829,27,40166,Maple Grove city,Minnesota,"Maple Grove city, Minnesota",45.14634,-94.684122,0.0,1.0
"Plymouth city, Minnesota",106858,27,51730,Plymouth city,Minnesota,"Plymouth city, Minnesota",45.019,-93.4742,1.0,10.0
"Rochester city, Minnesota",81198,27,54880,Rochester city,Minnesota,"Rochester city, Minnesota",44.0440419,-92.46094736441486,0.0,16.0
"Woodbury city, Minnesota",117201,27,71428,Woodbury city,Minnesota,"Woodbury city, Minnesota",44.9447042,-92.9031873,0.0,2.0
"Lee's Summit city, Missouri",89140,29,41348,Lee's Summit city,Missouri,"Lee's Summit city, Missouri",36.73923,-92.61378,0.0,0.0
"O'Fallon city, Missouri",105240,29,54074,O'Fallon city,Missouri,"O'Fallon city, Missouri",38.6740611,-90.2254554,0.0,20.0
"St. Charles city, Missouri",85798,29,64082,St. Charles city,Missouri,"St. Charles city, Missouri",38.6311508,-90.197195,0.0,20.0
"Billings city, Montana",77711,30,6550,Billings city,Montana,"Billings city, Montana",45.771416900000006,-108.61378934654248,1.0,20.0
"Enterprise CDP, Nevada",90005,32,23770,Enterprise CDP,Nevada,"Enterprise CDP, Nevada",36.033166,-115.20583,1.0,20.0
"Henderson city, Nevada",81695,32,31900,Henderson city,Nevada,"Henderson city, Nevada",36.03393215,-114.96996071375062,1.0,10.0
"North Las Vegas city, Nevada",75459,32,51800,North Las Vegas city,Nevada,"North Las Vegas city, Nevada",36.218263,-115.3156113,1.0,20.0
"Sparks city, Nevada",81512,32,68400,Sparks city,Nevada,"Sparks city, Nevada",39.5404588,-119.7490474261194,2.0,20.0
"Manchester city, New Hampshire",74769,33,45140,Manchester city,New Hampshire,"Manchester city, New Hampshire",42.9910294,-71.46337742518338,1.0,20.0
"Nashua city, New Hampshire",96911,33,50260,Nashua city,New Hampshire,"Nashua city, New Hampshire",42.70442165,-71.54044698410837,1.0,12.0
"Bayonne city, New Jersey",79363,34,3580,Bayonne city,New Jersey,"Bayonne city, New Jersey",40.6899596,-74.1024158,3.0,20.0
"Clifton city, New Jersey",95147,34,13690,Clifton city,New Jersey,"Clifton city, New Jersey",40.86809315,-74.1614352564055,2.0,20.0
"Jersey City city, New Jersey",94080,34,36000,Jersey City city,New Jersey,"Jersey City city, New Jersey",40.726834,-74.05492052734505,6.0,20.0
"Toms River CDP, New Jersey",92295,34,73110,Toms River CDP,New Jersey,"Toms River CDP, New Jersey",39.989522,-74.186982,1.0,8.0
"Rio Rancho city, New Mexico",85374,35,63460,Rio Rancho city,New Mexico,"Rio Rancho city, New Mexico",34.409891,-103.240442,2.0,1.0
"New Rochelle city, New York",102682,36,50617,New Rochelle city,New York,"New Rochelle city, New York",42.439191,-76.497211,0.0,5.0
"New York city, New York",74694,36,51000,New York city,New York,"New York city, New York",40.7127281,-74.0060152,7.0,20.0
"Apex town, North Carolina",126583,37,1520,Apex town,North Carolina,"Apex town, North Carolina",35.73388715,-78.84656522378867,1.0,8.0
"Cary town, North Carolina",125414,37,10740,Cary town,North Carolina,"Cary town, North Carolina",35.75142715,-78.76755491660421,0.0,12.0
"Concord city, North Carolina",77573,37,14100,Concord city,North Carolina,"Concord city, North Carolina",35.409695400000004,-80.58184980209285,1.0,3.0
"Durham city, North Carolina",78105,37,19000,Durham city,North Carolina,"Durham city, North Carolina",35.997354349999995,-78.90255008252386,0.0,20.0
"Raleigh city, North Carolina",75424,37,55000,Raleigh city,North Carolina,"Raleigh city, North Carolina",35.9365573,-75.7068429,0.0,0.0
"Broken Arrow city, Oklahoma",79075,40,9050,Broken Arrow city,Oklahoma,"Broken Arrow city, Oklahoma",36.05091135,-95.78991961396083,0.0,4.0
"Edmond city, Oklahoma",102896,40,23200,Edmond city,Oklahoma,"Edmond city, Oklahoma",35.6152174,-97.4906531,0.0,7.0
"Beaverton city, Oregon",82916,41,5350,Beaverton city,Oregon,"Beaverton city, Oregon",45.45204755,-122.86488717150274,4.0,20.0
"Bend city, Oregon",88516,41,5800,Bend city,Oregon,"Bend city, Oregon",44.057044000000005,-121.31497955394306,3.0,20.0
"Hillsboro city, Oregon",103170,41,34100,Hillsboro city,Oregon,"Hillsboro city, Oregon",45.5152463,-122.98942514155895,1.0,20.0
"Portland city, Oregon",81119,41,59000,Portland city,Oregon,"Portland city, Oregon",45.51501465,-122.67911334339578,4.0,20.0
"Cranston city, Rhode Island",76892,44,19180,Cranston city,Rhode Island,"Cranston city, Rhode Island",41.77956865,-71.43669801841416,3.0,20.0
"Warwick city, Rhode Island",77898,44,74300,Warwick city,Rhode Island,"Warwick city, Rhode Island",41.69279775,-71.4116692553464,5.0,9.0
"Charleston city, South Carolina",83103,45,13330,Charleston city,South Carolina,"Charleston city, South Carolina",32.92892355,-79.83213579346734,0.0,1.0
"Mount Pleasant town, South Carolina",114237,45,48535,Mount Pleasant town,South Carolina,"Mount Pleasant town, South Carolina",34.702662,-82.798992,1.0,1.0
"Franklin city, Tennessee",108354,47,27740,Franklin city,Tennessee,"Franklin city, Tennessee",35.9279699,-86.87224166678752,0.0,2.0
"Allen city, Texas",121127,48,1924,Allen city,Texas,"Allen city, Texas",32.3164356,-96.1321904,0.0,0.0
"Atascocita CDP, Texas",107633,48,4462,Atascocita CDP,Texas,"Atascocita CDP, Texas",29.968815,-95.202145,0.0,3.0
"Austin city, Texas",89415,48,5000,Austin city,Texas,"Austin city, Texas",30.2648103,-97.74721450826446,3.0,20.0
"Carrollton city, Texas",92734,48,13024,Carrollton city,Texas,"Carrollton city, Texas",32.97631355,-96.88913539700896,3.0,19.0
"Cedar Park city, Texas",114735,48,13552,Cedar Park city,Texas,"Cedar Park city, Texas",35.902872,-100.384603,0.0,0.0
"Flower Mound town, Texas",144901,48,26232,Flower Mound town,Texas,"Flower Mound town, Texas",33.036481499999994,-97.07113777937062,1.0,11.0
"Frisco city, Texas",145914,48,27684,Frisco city,Texas,"Frisco city, Texas",33.144803350000004,-96.74196769055372,0.0,3.0
"Georgetown city, Texas",97533,48,29336,Georgetown city,Texas,"Georgetown city, Texas",30.714913,-97.716683,0.0,3.0
"Irving city, Texas",78326,48,37000,Irving city,Texas,"Irving city, Texas",32.81405105,-96.9556627457996,1.0,20.0
"League City city, Texas",104867,48,41980,League City city,Texas,"League City city, Texas",29.5049822,-95.0418329,2.0,13.0
"Leander city, Texas",138111,48,42016,Leander city,Texas,"Leander city, Texas",30.58022115,-97.84126746018076,2.0,4.0
"Lewisville city, Texas",78955,48,42508,Lewisville city,Texas,"Lewisville city, Texas",33.00234635,-96.9717943999129,4.0,16.0
"McKinney city, Texas",104619,48,45744,McKinney city,Texas,"McKinney city, Texas",33.16003775,-96.63738999478932,0.0,3.0
"Mansfield city, Texas",119508,48,46452,Mansfield city,Texas,"Mansfield city, Texas",32.5680169,-97.12258257018888,0.0,2.0
"Midland city, Texas",80235,48,48072,Midland city,Texas,"Midland city, Texas",31.999797450000003,-102.07531687533856,0.0,10.0
"Missouri City city, Texas",101775,48,48804,Missouri City city,Texas,"Missouri City city, Texas",37.341437,-91.952962,0.0,0.0
"New Braunfels city, Texas",79336,48,50820,New Braunfels city,Texas,"New Braunfels city, Texas",29.7073056,-98.0883048,0.0,10.0
"North Richland Hills city, Texas",82005,48,52356,North Richland Hills city,Texas,"North Richland Hills city, Texas",32.819803,-97.260832,2.0,11.0
"Pearland city, Texas",103496,48,56348,Pearland city,Texas,"Pearland city, Texas",29.549833,-95.25688993555627,0.0,0.0
"Pflugerville city, Texas",111956,48,57176,Pflugerville city,Texas,"Pflugerville city, Texas",30.44088975,-97.6201335,0.0,20.0
"Plano city, Texas",103916,48,58016,Plano city,Texas,"Plano city, Texas",33.0214002,-96.76653591263404,1.0,16.0
"Richardson city, Texas",86175,48,61796,Richardson city,Texas,"Richardson city, Texas",32.9552647,-96.70305639471384,1.0,10.0
"Round Rock city, Texas",81804,48,63500,Round Rock city,Texas,"Round Rock city, Texas",33.184283,-96.747331,0.0,2.0
"Rowlett city, Texas",106355,48,63572,Rowlett city,Texas,"Rowlett city, Texas",35.469264,-97.515679,1.0,20.0
"Spring CDP, Texas",81641,48,69596,Spring CDP,Texas,"Spring CDP, Texas",30.059899,-95.394769,0.0,19.0
"Sugar Land city, Texas",132766,48,70808,Sugar Land city,Texas,"Sugar Land city, Texas",29.5966629,-95.6224945420328,0.0,2.0
"The Woodlands CDP, Texas",137335,48,72656,The Woodlands CDP,Texas,"The Woodlands CDP, Texas",30.15799,-95.48938,1.0,6.0
"Layton city, Utah",100185,49,43660,Layton city,Utah,"Layton city, Utah",41.082856,-111.9807183012069,2.0,2.0
"Lehi city, Utah",123842,49,44320,Lehi city,Utah,"Lehi city, Utah",40.3898843,-111.84786867118956,1.0,2.0
"Orem city, Utah",77718,49,57300,Orem city,Utah,"Orem city, Utah",40.2986688,-111.69255189142524,1.0,1.0
"Salt Lake City city, Utah",75529,49,67000,Salt Lake City city,Utah,"Salt Lake City city, Utah",40.7596198,-111.886797,3.0,20.0
"Sandy city, Utah",104577,49,67440,Sandy city,Utah,"Sandy city, Utah",40.5916147,-111.8841013,2.0,14.0
"South Jordan city, Utah",118560,49,70850,South Jordan city,Utah,"South Jordan city, Utah",40.6740609,-111.9819364,2.0,15.0
"West Jordan city, Utah",95434,49,82950,West Jordan city,Utah,"West Jordan city, Utah",40.6081402,-111.9273165981965,3.0,13.0
"West Valley City city, Utah",82378,49,83470,West Valley City city,Utah,"West Valley City city, Utah",40.6967254,-111.986821,2.0,20.0
"Alexandria city, Virginia",111955,51,1000,Alexandria city,Virginia,"Alexandria city, Virginia",14.0146616,-88.5743855,0.0,0.0
"Arlington CDP, Virginia",132380,51,3000,Arlington CDP,Virginia,"Arlington CDP, Virginia",38.864458,-77.099638,2.0,20.0
"Centreville CDP, Virginia",131444,51,14440,Centreville CDP,Virginia,"Centreville CDP, Virginia",38.830024,-77.435746,1.0,3.0
"Chesapeake city, Virginia",87749,51,16000,Chesapeake city,Virginia,"Chesapeake city, Virginia",36.7503719,-76.22857998050293,0.0,4.0
"Dale City CDP, Virginia",97214,51,21088,Dale City CDP,Virginia,"Dale City CDP, Virginia",38.65428,-77.349668,0.0,7.0
"Suffolk city, Virginia",83144,51,76432,Suffolk city,Virginia,"Suffolk city, Virginia",14.0146616,-88.5743855,0.0,0.0
"Virginia Beach city, Virginia",83245,51,82000,Virginia Beach city,Virginia,"Virginia Beach city, Virginia",14.01667,-88.56667,0.0,0.0
"Auburn city, Washington",92622,53,3180,Auburn city,Washington,"Auburn city, Washington",47.30773215,-122.23069432886275,4.0,16.0
"Bellevue city, Washington",153779,53,5210,Bellevue city,Washington,"Bellevue city, Washington",47.61493035,-122.19573727505184,3.0,20.0
"Everett city, Washington",79723,53,22640,Everett city,Washington,"Everett city, Washington",47.976945400000005,-122.20214385422224,0.0,14.0
"Federal Way city, Washington",76732,53,23515,Federal Way city,Washington,"Federal Way city, Washington",47.303914000000006,-122.32648117633444,2.0,15.0
"Kent city, Washington",83314,53,35415,Kent city,Washington,"Kent city, Washington",47.3783793,-122.27418739042405,2.0,20.0
"Kirkland city, Washington",130620,53,35940,Kirkland city,Washington,"Kirkland city, Washington",47.6762128,-122.1912163,3.0,20.0
"Marysville city, Washington",104433,53,43955,Marysville city,Washington,"Marysville city, Washington",47.60796,-122.334382,0.0,20.0
"Pasco city, Washington",76499,53,53545,Pasco city,Washington,"Pasco city, Washington",46.2357043,-119.0923410923813,0.0,7.0
"Redmond city, Washington",152851,53,57535,Redmond city,Washington,"Redmond city, Washington",47.6576285,-122.089065,2.0,20.0
"Renton city, Washington",93388,53,57745,Renton city,Washington,"Renton city, Washington",47.4799078,-122.2034496,1.0,20.0
"Sammamish city, Washington",223849,53,61115,Sammamish city,Washington,"Sammamish city, Washington",47.6017554,-122.0416844,2.0,7.0
"Seattle city, Washington",115409,53,63000,Seattle city,Washington,"Seattle city, Washington",47.6177084,-122.3444624,0.0,20.0
"South Hill CDP, Washington",109848,53,65922,South Hill CDP,Washington,"South Hill CDP, Washington",47.120551,-122.283781,0.0,9.0
"Tacoma city, Washington",80784,53,70000,Tacoma city,Washington,"Tacoma city, Washington",47.2821168,-122.4792987,3.0,20.0
"Vancouver city, Washington",76799,53,74060,Vancouver city,Washington,"Vancouver city, Washington",45.6253785,-122.67551441469294,1.0,20.0
"Appleton city, Wisconsin",75262,55,2375,Appleton city,Wisconsin,"Appleton city, Wisconsin",44.26226295,-88.40691270331727,1.0,20.0
"Waukesha city, Wisconsin",74675,55,84250,Waukesha city,Wisconsin,"Waukesha city, Wisconsin",43.014928350000005,-88.23472228051864,0.0,8.0
