,Cities,States,Lat,Lon,High Income
121,Upland,California,34.099336699999995,-117.65037138842862,97838
122,Vacaville,California,38.3512866,-121.99444523554617,97289
123,Vallejo,California,38.124663,-122.228542,88063
124,Visalia,California,36.3288395,-119.2992811,81362
125,Vista,California,37.317741,-121.91936129069929,88839
126,Walnut Creek,California,37.30333,-121.842367,106141
127,West Covina,California,34.1059914,-117.8791434,84663
128,Westminster,California,33.7577942,-117.9858931,85229
129,Whittier,California,33.9749185,-118.03376265091144,91457
130,Yorba Linda,California,39.126561,-121.538446,151534
131,Arvada,Colorado,39.8027778,-105.0880556,110100
132,Aurora,Colorado,39.63304355,-104.69988668347348,81395
133,Boulder,Colorado,35.9787638,-114.8337739,81608
134,Broomfield,Colorado,39.9403995,-105.05208,115833
135,Castle Rock,Colorado,38.693064,-104.678651,142927
136,Centennial,Colorado,39.59572805,-104.835924583367,126224
137,Colorado Springs,Colorado,38.8462822,-104.8611952,78568
138,Commerce,Colorado,39.8330585,-104.91148970617284,102607
139,Denver,Colorado,39.7392364,-104.984862,88213
140,Fort Collins,Colorado,40.5843926,-105.1009281,80227
141,Highlands Ranch,Colorado,39.541102,-104.969335,152038
142,Lakewood,Colorado,39.7088571,-105.08304642696726,85988
143,Longmont,Colorado,40.1644594,-105.10057437364112,89010
144,Loveland,Colorado,40.3957149,-105.10903380460796,81149
145,Thornton,Colorado,39.8686792,-104.960838,105116
146,Westminster,Colorado,39.86252555,-105.04902987460132,101529
147,Danbury,Connecticut,41.173209,-73.190759,88132
148,Norwalk,Connecticut,41.1132796,-73.40668194611808,107140
149,Stamford,Connecticut,41.173209,-73.190759,89797
150,Washington,District of Columbia,38.9232216,-77.0176122,101027
151,Alafaya,Florida,28.5114497,-81.18743928503125,88731
152,Boca Raton,Florida,28.543089,-81.378698,88620
153,Brandon,Florida,27.93539,-82.299987,75294
154,Cape Coral,Florida,30.232171,-85.888921,76991
155,Coral Springs,Florida,28.543089,-81.378698,85570
156,Davie,Florida,26.087573,-80.296011,79963
157,Delray Beach,Florida,26.4638162,-80.0746795,80000
158,Doral,Florida,25.8217956,-80.33418112276786,85790
159,Fort Lauderdale,Florida,28.543089,-81.378698,81544
160,Four Corners,Florida,28.308517,-81.628592,76295
161,Kendall,Florida,25.665226,-80.356192,89441
162,Miramar,Florida,25.9811111,-80.2211111,80661
163,North Port,Florida,30.99087,-87.257268,78587
164,Palm Harbor,Florida,28.087928,-82.762872,85256
165,Pembroke Pines,Florida,34.681574,-79.192845,79144
166,Plantation,Florida,26.128892,-80.2298404,82830
167,Riverview,Florida,27.820475,-82.303571,98470
168,The Villages,Florida,28.895788,-81.984221,75062
169,Wesley Chapel,Florida,28.20866,-82.331696,102188
170,Weston,Florida,26.0915488,-80.3802093,130462
171,Alpharetta,Georgia,34.07463485,-84.2922705072829,129946
172,Atlanta,Georgia,33.75517665,-84.40599247359282,83251
173,Johns Creek,Georgia,34.0605222,-84.1691163,149145
174,Roswell,Georgia,34.022464400000004,-84.3601763665493,130088
175,Sandy Springs,Georgia,33.9251369,-84.3806568,104394
176,South Fulton,Georgia,33.6188889,-84.5289953,84232
177,Urban Honolulu,Hawaii,21.2967598,-157.8514509667774,82006
178,Boise,Idaho,43.6166163,-116.200886,81425
179,Meridian,Idaho,43.6096104,-116.3931814729916,89683
180,Arlington Heights village,Illinois,39.09307,-90.397658,113970
181,Aurora,Illinois,41.7566515,-88.31458416834076,84578
182,Bolingbrook village,Illinois,41.69647415,-88.08061223444497,91928
183,Elgin,Illinois,42.0557884,-88.2866919301975,85167
184,Evanston,Illinois,42.046069,-87.69123,97144
185,Joliet,Illinois,41.52850195,-88.08204756682818,86928
186,Naperville,Illinois,41.762684,-88.190457,140831
187,Palatine village,Illinois,42.13594665,-88.0360413,92621
188,Schaumburg village,Illinois,42.029467,-88.05848347563031,92666
189,Skokie village,Illinois,42.02584935,-87.75616183797185,97059
190,Carmel,Indiana,32.6922393,35.0482785,130332
191,Fishers,Indiana,39.95864445,-86.01712777157263,125159
192,Noblesville,Indiana,40.04513515,-86.011830675,106025
193,Ankeny,Iowa,41.73259535,-93.60553609214182,103578
194,West Des Moines,Iowa,41.5708191,-93.70860759889392,85731
195,Olathe,Kansas,38.842955,-94.84043755649796,100972
196,Overland Park,Kansas,37.791758,-97.332242,96694
197,Shawnee,Kansas,39.017596,-94.826136,101063
198,Bethesda,Maryland,38.989441,-77.118791,158720
199,Columbia,Maryland,39.199038,-76.841517,120675
200,Ellicott,Maryland,39.275859,-76.835556,165588
201,Frederick,Maryland,39.41021255,-77.42273680791672,94767
202,Gaithersburg,Maryland,39.1399062,-77.1926813,95453
203,Germantown,Maryland,39.17130815,-77.26557848822242,108426
204,Glen Burnie,Maryland,39.1595439,-76.61515136556432,77666
205,Rockville,Maryland,39.08137805,-77.15207121157641,106338
206,Silver Spring,Maryland,39.00197,-77.020588,81557
207,Waldorf,Maryland,38.613537,-76.924754,107462
208,Boston,Massachusetts,42.360401,-71.05768162905511,86331
209,Brockton,Massachusetts,42.082564,-71.01845752916921,74799
210,Cambridge,Massachusetts,39.8129285,-85.1708971,109358
211,Framingham,Massachusetts,41.173209,-73.190759,89494
212,Haverhill,Massachusetts,42.77816025,-71.07684796648172,85561
213,Malden,Massachusetts,42.4273477,-71.0727315,99497
214,Medford,Massachusetts,42.418171,-71.106438,113253
215,Newton,Massachusetts,42.34631400000001,-71.23692209511606,163074
216,Quincy,Massachusetts,42.2509662,-71.0041959,90205
217,Somerville,Massachusetts,42.3879326,-71.0835948,124110
218,Ann Arbor,Michigan,42.349409,-83.380356,78740
219,Farmington Hills,Michigan,42.358305,-83.371683,104593
220,Livonia,Michigan,42.39503615,-83.36554220037253,92125
221,Novi,Michigan,42.46475555,-83.48534413217257,101756
222,Rochester Hills,Michigan,42.651789,-83.165294,107137
223,Sterling Heights,Michigan,42.58997595,-83.01238253140909,78049
224,Troy,Michigan,42.56346735,-83.16243343349659,109444
225,Blaine,Minnesota,45.1658172,-93.2083623,105987
226,Bloomington,Minnesota,44.8251768,-93.302367,87282
227,Brooklyn Park,Minnesota,49.7810102,22.7752847,80275
228,Eagan,Minnesota,44.818849,-93.163862,97838
229,Lakeville,Minnesota,44.65686185,-93.24348455543982,124452
230,Maple Grove,Minnesota,45.14634,-94.684122,111829
231,Plymouth,Minnesota,45.019,-93.4742,106858
232,Rochester,Minnesota,44.0440419,-92.46094736441486,81198
233,Woodbury,Minnesota,44.9447042,-92.9031873,117201
234,Lee's Summit,Missouri,36.73923,-92.61378,89140
235,O'Fallon,Missouri,38.6740611,-90.2254554,105240
236,St. Charles,Missouri,38.6311508,-90.197195,85798
237,Billings,Montana,45.771416900000006,-108.61378934654248,77711
238,Enterprise,Nevada,36.033166,-115.20583,90005
239,Henderson,Nevada,36.03393215,-114.96996071375062,81695
240,North Las Vegas,Nevada,36.218263,-115.3156113,75459
241,Sparks,Nevada,39.5404588,-119.7490474261194,81512
242,Manchester,New Hampshire,42.9910294,-71.46337742518338,74769
243,Nashua,New Hampshire,42.70442165,-71.54044698410837,96911
244,Bayonne,New Jersey,40.6899596,-74.1024158,79363
245,Clifton,New Jersey,40.86809315,-74.1614352564055,95147
246,Jersey,New Jersey,40.726834,-74.05492052734505,94080
247,Toms River,New Jersey,39.989522,-74.186982,92295
248,Rio Rancho,New Mexico,34.409891,-103.240442,85374
249,New Rochelle,New York,42.439191,-76.497211,102682
250,New York,New York,40.7127281,-74.0060152,74694
251,Apex,North Carolina,35.73388715,-78.84656522378867,126583
252,Cary,North Carolina,35.75142715,-78.76755491660421,125414
253,Concord,North Carolina,35.409695400000004,-80.58184980209285,77573
254,Durham,North Carolina,35.997354349999995,-78.90255008252386,78105
255,Raleigh,North Carolina,35.9365573,-75.7068429,75424
256,Broken Arrow,Oklahoma,36.05091135,-95.78991961396083,79075
257,Edmond,Oklahoma,35.6152174,-97.4906531,102896
258,Beaverton,Oregon,45.45204755,-122.86488717150274,82916
259,Bend,Oregon,44.057044000000005,-121.31497955394306,88516
260,Hillsboro,Oregon,45.5152463,-122.98942514155895,103170
261,Portland,Oregon,45.51501465,-122.67911334339578,81119
262,Cranston,Rhode Island,41.77956865,-71.43669801841416,76892
263,Warwick,Rhode Island,41.69279775,-71.4116692553464,77898
264,Charleston,South Carolina,32.92892355,-79.83213579346734,83103
265,Mount Pleasant,South Carolina,34.702662,-82.798992,114237
266,Franklin,Tennessee,35.9279699,-86.87224166678752,108354
267,Allen,Texas,32.3164356,-96.1321904,121127
268,Atascocita,Texas,29.968815,-95.202145,107633
269,Austin,Texas,30.2648103,-97.74721450826446,89415
270,Carrollton,Texas,32.97631355,-96.88913539700896,92734
271,Cedar Park,Texas,35.902872,-100.384603,114735
272,Flower Mound,Texas,33.036481499999994,-97.07113777937062,144901
273,Frisco,Texas,33.144803350000004,-96.74196769055372,145914
274,Georgetown,Texas,30.714913,-97.716683,97533
275,Irving,Texas,32.81405105,-96.9556627457996,78326
276,League,Texas,29.5049822,-95.0418329,104867
277,Leander,Texas,30.58022115,-97.84126746018076,138111
278,Lewisville,Texas,33.00234635,-96.9717943999129,78955
279,McKinney,Texas,33.16003775,-96.63738999478932,104619
280,Mansfield,Texas,32.5680169,-97.12258257018888,119508
281,Midland,Texas,31.999797450000003,-102.07531687533856,80235
282,Missouri,Texas,37.341437,-91.952962,101775
283,New Braunfels,Texas,29.7073056,-98.0883048,79336
284,North Richland Hills,Texas,32.819803,-97.260832,82005
285,Pearland,Texas,29.549833,-95.25688993555627,103496
286,Pflugerville,Texas,30.44088975,-97.6201335,111956
287,Plano,Texas,33.0214002,-96.76653591263404,103916
288,Richardson,Texas,32.9552647,-96.70305639471384,86175
289,Round Rock,Texas,33.184283,-96.747331,81804
290,Rowlett,Texas,35.469264,-97.515679,106355
291,Spring,Texas,30.059899,-95.394769,81641
292,Sugar Land,Texas,29.5966629,-95.6224945420328,132766
293,The Woodlands,Texas,30.15799,-95.48938,137335
294,Layton,Utah,41.082856,-111.9807183012069,100185
295,Lehi,Utah,40.3898843,-111.84786867118956,123842
296,Orem,Utah,40.2986688,-111.69255189142524,77718
297,Salt Lake,Utah,40.7596198,-111.886797,75529
298,Sandy,Utah,40.5916147,-111.8841013,104577
299,South Jordan,Utah,40.6740609,-111.9819364,118560
300,West Jordan,Utah,40.6081402,-111.9273165981965,95434
301,West Valley,Utah,40.6967254,-111.986821,82378
302,Alexandria,Virginia,14.0146616,-88.5743855,111955
303,Arlington,Virginia,38.864458,-77.099638,132380
304,Centreville,Virginia,38.830024,-77.435746,131444
305,Chesapeake,Virginia,36.7503719,-76.22857998050293,87749
306,Dale,Virginia,38.65428,-77.349668,97214
307,Suffolk,Virginia,14.0146616,-88.5743855,83144
308,Virginia Beach,Virginia,14.01667,-88.56667,83245
309,Auburn,Washington,47.30773215,-122.23069432886275,92622
310,Bellevue,Washington,47.61493035,-122.19573727505184,153779
311,Everett,Washington,47.976945400000005,-122.20214385422224,79723
312,Federal Way,Washington,47.303914000000006,-122.32648117633444,76732
313,Kent,Washington,47.3783793,-122.27418739042405,83314
314,Kirkland,Washington,47.6762128,-122.1912163,130620
315,Marysville,Washington,47.60796,-122.334382,104433
316,Pasco,Washington,46.2357043,-119.0923410923813,76499
317,Redmond,Washington,47.6576285,-122.089065,152851
318,Renton,Washington,47.4799078,-122.2034496,93388
319,Sammamish,Washington,47.6017554,-122.0416844,223849
320,Seattle,Washington,47.6177084,-122.3444624,115409
321,South Hill,Washington,47.120551,-122.283781,109848
322,Tacoma,Washington,47.2821168,-122.4792987,80784
323,Vancouver,Washington,45.6253785,-122.67551441469294,76799
324,Appleton,Wisconsin,44.26226295,-88.40691270331727,75262
325,Waukesha,Wisconsin,43.014928350000005,-88.23472228051864,74675
