NAME,S1903_C03_001E,state,place
"Vista city, California",88839,06,82996
"Walnut Creek city, California",106141,06,83346
"West Covina city, California",84663,06,84200
"Westminster city, California",85229,06,84550
"Whittier city, California",91457,06,85292
"Yorba Linda city, California",151534,06,86832
"Yuba City city, California",59588,06,86972
"Arvada city, Colorado",110100,08,03455
"Aurora city, Colorado",81395,08,04000
"Boulder city, Colorado",81608,08,07850
"Broomfield city, Colorado",115833,08,09280
"Castle Rock town, Colorado",142927,08,12415
"Centennial city, Colorado",126224,08,12815
"Colorado Springs city, Colorado",78568,08,16000
"Commerce City city, Colorado",102607,08,16495
"Denver city, Colorado",88213,08,20000
"Fort Collins city, Colorado",80227,08,27425
"Grand Junction city, Colorado",61458,08,31660
"Greeley city, Colorado",69338,08,32155
"Highlands Ranch CDP, Colorado",152038,08,36410
"Lakewood city, Colorado",85988,08,43000
"Longmont city, Colorado",89010,08,45970
"Loveland city, Colorado",81149,08,46465
"Pueblo city, Colorado",51697,08,62000
"Thornton city, Colorado",105116,08,77290
"Westminster city, Colorado",101529,08,83835
"Bridgeport city, Connecticut",50311,09,08000
"Danbury city, Connecticut",88132,09,18430
"Hartford city, Connecticut",41529,09,37000
"New Britain city, Connecticut",50209,09,50370
"New Haven city, Connecticut",53909,09,52000
"Norwalk city, Connecticut",107140,09,55990
"Stamford city, Connecticut",89797,09,73000
"Waterbury city, Connecticut",51572,09,80000
"Wilmington city, Delaware",52768,10,77580
"Washington city, District of Columbia",101027,11,50000
"Alafaya CDP, Florida",88731,12,00410
"Boca Raton city, Florida",88620,12,07300
"Boynton Beach city, Florida",66472,12,07875
"Brandon CDP, Florida",75294,12,08150
"Cape Coral city, Florida",76991,12,10275
"Clearwater city, Florida",56474,12,12875
"Coral Springs city, Florida",85570,12,14400
"Davie town, Florida",79963,12,16475
"Daytona Beach city, Florida",51881,12,16525
"Deerfield Beach city, Florida",65465,12,16725
"Delray Beach city, Florida",80000,12,17100
"Deltona city, Florida",73115,12,17200
"Doral city, Florida",85790,12,17935
"Fort Lauderdale city, Florida",81544,12,24000
"Fort Myers city, Florida",62981,12,24125
"Four Corners CDP, Florida",76295,12,24581
"Gainesville city, Florida",42453,12,25175
"Hialeah city, Florida",52674,12,30000
"Hollywood city, Florida",59917,12,32000
"Homestead city, Florida",60530,12,32275
"Jacksonville city, Florida",69309,12,35000
"Kendall CDP, Florida",89441,12,36100
"Kissimmee city, Florida",44445,12,36950
"Lakeland city, Florida",58524,12,38250
"Largo city, Florida",56408,12,39425
"Lauderhill city, Florida",44755,12,39550
"Lehigh Acres CDP, Florida",65816,12,39925
"Melbourne city, Florida",64331,12,43975
"Miami city, Florida",60989,12,45000
"Miami Beach city, Florida",69258,12,45025
"Miami Gardens city, Florida",61496,12,45060
"Miramar city, Florida",80661,12,45975
"North Port city, Florida",78587,12,49675
"Ocala city, Florida",44756,12,50750
"Orlando city, Florida",65354,12,53000
"Palm Bay city, Florida",71645,12,54000
"Palm Coast city, Florida",68434,12,54200
"Palm Harbor CDP, Florida",85256,12,54350
"Pembroke Pines city, Florida",79144,12,55775
"Pine Hills CDP, Florida",43452,12,56825
"Plantation city, Florida",82830,12,57425
"Poinciana CDP, Florida",59367,12,57900
"Pompano Beach city, Florida",61037,12,58050
"Port Charlotte CDP, Florida",64195,12,58350
"Port St. Lucie city, Florida",70613,12,58715
"Riverview CDP, Florida",98470,12,60950
"St. Petersburg city, Florida",69941,12,63000
"Spring Hill CDP, Florida",62670,12,68350
"Sunrise city, Florida",74047,12,69700
"Tallahassee city, Florida",53867,12,70600
"Tamarac city, Florida",54574,12,70675
"Tampa city, Florida",71089,12,71000
"The Villages CDP, Florida",75062,12,71625
"Town 'n' Country CDP, Florida",65783,12,72145
"Wesley Chapel CDP, Florida",102188,12,75875
"Weston city, Florida",130462,12,76582
"West Palm Beach city, Florida",71138,12,76600
"Albany city, Georgia",39422,13,01052
"Alpharetta city, Georgia",129946,13,01696
"Athens-Clarke County unified government (balance), Georgia",46523,13,03440
"Atlanta city, Georgia",83251,13,04000
"Augusta-Richmond County consolidated government (balance), Georgia",49838,13,04204
"Columbus city, Georgia",53750,13,19000
"Johns Creek city, Georgia",149145,13,42425
"Macon-Bibb County, Georgia",47625,13,49008
"Roswell city, Georgia",130088,13,67284
"Sandy Springs city, Georgia",104394,13,68516
"Savannah city, Georgia",53258,13,69000
"South Fulton city, Georgia",84232,13,72122
"Warner Robins city, Georgia",57967,13,80508
"Urban Honolulu CDP, Hawaii",82006,15,71550
"Boise City city, Idaho",81425,16,08830
"Caldwell city, Idaho",63939,16,12250
"Idaho Falls city, Idaho",72007,16,39700
"Meridian city, Idaho",89683,16,52120
"Nampa city, Idaho",71060,16,56260
"Arlington Heights village, Illinois",113970,17,02154
"Aurora city, Illinois",84578,17,03012
"Bloomington city, Illinois",67592,17,06613
"Bolingbrook village, Illinois",91928,17,07133
"Champaign city, Illinois",56148,17,12385
"Chicago city, Illinois",70386,17,14000
"Cicero town, Illinois",67111,17,14351
"Decatur city, Illinois",49714,17,18823
"Elgin city, Illinois",85167,17,23074
"Evanston city, Illinois",97144,17,24582
"Joliet city, Illinois",86928,17,38570
"Naperville city, Illinois",140831,17,51622
"Palatine village, Illinois",92621,17,57225
"Peoria city, Illinois",55955,17,59000
"Rockford city, Illinois",53994,17,65000
"Schaumburg village, Illinois",92666,17,68003
"Skokie village, Illinois",97059,17,70122
"Springfield city, Illinois",60082,17,72000
"Waukegan city, Illinois",64299,17,79293
"Bloomington city, Indiana",47360,18,05860
"Carmel city, Indiana",130332,18,10342
"Evansville city, Indiana",48127,18,22000
"Fishers city, Indiana",125159,18,23278
"Fort Wayne city, Indiana",58439,18,25000
"Gary city, Indiana",36153,18,27000
"Hammond city, Indiana",53878,18,31000
"Indianapolis city (balance), Indiana",61501,18,36003
"Lafayette city, Indiana",51439,18,40788
"Muncie city, Indiana",40968,18,51876
"Noblesville city, Indiana",106025,18,54180
"South Bend city, Indiana",51610,18,71000
"Ames city, Iowa",52565,19,01855
"Ankeny city, Iowa",103578,19,02305
"Cedar Rapids city, Iowa",64435,19,12000
"Davenport city, Iowa",54630,19,19000
"Des Moines city, Iowa",58018,19,21000
"Iowa City city, Iowa",55598,19,38595
"Sioux City city, Iowa",61836,19,73335
"Waterloo city, Iowa",52888,19,82425
"West Des Moines city, Iowa",85731,19,83910
"Kansas City city, Kansas",58233,20,36000
"Lawrence city, Kansas",59963,20,38900
"Olathe city, Kansas",100972,20,52575
"Overland Park city, Kansas",96694,20,53775
"Shawnee city, Kansas",101063,20,64500
"Topeka city, Kansas",50709,20,71000
"Wichita city, Kansas",59277,20,79000
"Bowling Green city, Kentucky",45812,21,08902
"Lexington-Fayette urban county, Kentucky",62908,21,46027
"Louisville/Jefferson County metro government (balance), Kentucky",63049,21,48006
"Baton Rouge city, Louisiana",50304,22,05000
"Kenner city, Louisiana",56906,22,39475
"Lafayette city, Louisiana",50504,22,40735
"Lake Charles city, Louisiana",56666,22,41155
"Metairie CDP, Louisiana",74528,22,50115
"New Orleans city, Louisiana",52322,22,55000
"Shreveport city, Louisiana",43643,22,70000
"Portland city, Maine",69046,23,60545
"Baltimore city, Maryland",55198,24,04000
"Bethesda CDP, Maryland",158720,24,07125
"Columbia CDP, Maryland",120675,24,19125
"Dundalk CDP, Maryland",50648,24,23975
"Ellicott City CDP, Maryland",165588,24,26000
"Frederick city, Maryland",94767,24,30325
"Gaithersburg city, Maryland",95453,24,31175
"Germantown CDP, Maryland",108426,24,32025
"Glen Burnie CDP, Maryland",77666,24,32650
"Rockville city, Maryland",106338,24,67675
"Silver Spring CDP, Maryland",81557,24,72450
"Waldorf CDP, Maryland",107462,24,81175
"Boston city, Massachusetts",86331,25,07000
"Brockton city, Massachusetts",74799,25,09000
"Cambridge city, Massachusetts",109358,25,11000
"Fall River city, Massachusetts",46789,25,23000
"Framingham city, Massachusetts",89494,25,24960
"Haverhill city, Massachusetts",85561,25,29405
"Lawrence city, Massachusetts",60632,25,34550
"Lowell city, Massachusetts",72349,25,37000
"Lynn city, Massachusetts",62374,25,37490
"Malden city, Massachusetts",99497,25,37875
"Medford city, Massachusetts",113253,25,39835
"New Bedford city, Massachusetts",53024,25,45000
"Newton city, Massachusetts",163074,25,45560
"Quincy city, Massachusetts",90205,25,55745
"Somerville city, Massachusetts",124110,25,62535
"Springfield city, Massachusetts",44286,25,67000
"Worcester city, Massachusetts",61935,25,82000
"Ann Arbor city, Michigan",78740,26,03000
"Dearborn city, Michigan",58467,26,21000
"Detroit city, Michigan",36453,26,22000
"Farmington Hills city, Michigan",104593,26,27440
"Flint city, Michigan",33036,26,29000
"Grand Rapids city, Michigan",65660,26,34000
"Kalamazoo city, Michigan",43509,26,42160
"Lansing city, Michigan",48962,26,46000
"Livonia city, Michigan",92125,26,49000
"Novi city, Michigan",101756,26,59440
"Rochester Hills city, Michigan",107137,26,69035
"Southfield city, Michigan",65316,26,74900
"Sterling Heights city, Michigan",78049,26,76460
"Troy city, Michigan",109444,26,80700
"Warren city, Michigan",60285,26,84000
"Westland city, Michigan",56630,26,86000
"Wyoming city, Michigan",64499,26,88940
"Blaine city, Minnesota",105987,27,06382
